"estado","cidade","regiao","preco_medio"
"sp","guarulhos","jardim valeria","351666.67"
"sp","guarulhos","parque continental i","200000.00"
"sp","sao paulo","cidade antonio estevao de carvalho","315000.00"
"mg","belo horizonte","nova gameleira","330000.00"
"rj","rio de janeiro","abolicao","150000.00"
"mg","belo horizonte","renascenca","482500.00"
"rs","porto alegre","vila jardim","150000.00"
"sp","campinas","vila pompeia ","530000.00"
"sp","campinas","loteamento country ville","218333.33"
"rs","contagem","jardim riacho das pedras","423894.69"
"mg","belo horizonte","serra","748142.86"
"sp","sao bernardo do campo","jardim yraja","218000.00"
"rs","contagem","santa cruz industrial","398750.00"
"sp","sao paulo","jardim popular","490000.00"
"rj","niteroi","venda da cruz","200000.00"
"sp","novo hamburgo","liberdade","254571.43"
"sp","osasco","veloso","242777.78"
"sp","sao paulo","conjunto habitacional teotonio vilela","209000.00"
"mg","belo horizonte","guarani","270000.00"
"mg","belo horizonte","sao joao batista venda nova","220000.00"
"mg","belo horizonte","cruzeiro","482500.00"
"sp","campinas","jardim indianopolis","350000.00"
"rs","contagem","jk","378749.75"
"sp","sao paulo","tatuape","505333.33"
"sp","sao paulo","saude","275000.00"
"rs","belo horizonte","santa terezinha","314013.00"
"rs","porto alegre","campo novo","171000.00"
"rj","rio de janeiro","vila isabel","363333.33"
"rj","niteroi","badu","626350.00"
"mg","belo horizonte","pampulha","433000.00"
"mg","belo horizonte","lourdes","450000.00"
"rj","rio de janeiro","anil","254000.00"
"mg","belo horizonte","nova granada","560000.00"
"sp","guarulhos","vila zamataro","250000.00"
"sp","guarulhos","vila bremen","274000.00"
"rs","porto alegre","sao jose","277375.00"
"sp","campinas","cidade satelite iris","155000.00"
"rs","contagem","arvoredo ii","270750.00"
"rs","canoas","nossa senhora das gracas","335400.00"
"mg","belo horizonte","sao pedro","680000.00"
"sp","sao bernardo do campo","jardim silvina","200000.00"
"sp","osasco","jardim das flores","680500.00"
"mg","belo horizonte","pedro ii","780000.00"
"mg","belo horizonte","coqueiros","580000.00"
"sp","sao bernardo do campo","jardim olavo bilac","282000.00"
"sp","sao paulo","vila mariana","784325.00"
"rj","rio de janeiro","curicica","185000.00"
"rs","porto alegre","jardim dona leopoldina","198333.33"
"sp","campinas","residencial parque da fazenda","390000.00"
"sp","campinas","jardim myrian moreira da costa","320000.00"
"sp","sao paulo","chacara santo antonio zona sul","900000.00"
"rs","porto alegre","ipanema","404166.67"
"sp","sao bernardo do campo","parque dos passaros","255000.00"
"mg","belo horizonte","luxemburgo","820000.00"
"rj","rio de janeiro","benfica","199999.00"
"rj","rio de janeiro","piedade","221666.67"
"rs","contagem","tijuco","799000.00"
"rs","sao leopoldo","duque de caxias","192875.00"
