"num_quartos","num_banheiros","num_vagas","preco_medio"
0,1,0,"372250.00"
1,1,0,"240706.98"
1,1,1,"306774.32"
1,1,2,"225554.44"
1,1,7,"450000.00"
1,2,0,"202500.00"
1,2,1,"667813.95"
1,2,2,"1546285.71"
2,1,0,"226079.33"
2,1,1,"246734.53"
2,1,2,"297629.69"
2,1,3,"260653.85"
2,1,4,"405000.00"
2,2,0,"283228.19"
2,2,1,"383617.95"
2,2,2,"589637.04"
2,2,3,"535570.00"
2,2,4,"445333.33"
2,2,5,"580000.00"
2,3,0,"650000.00"
2,3,1,"493196.00"
2,3,2,"674421.67"
2,3,3,"1770000.00"
2,4,1,"750000.00"
2,4,2,"1299900.00"
3,1,0,"300033.33"
3,1,1,"286872.13"
3,1,2,"357176.47"
3,1,3,"380555.56"
3,1,4,"286333.33"
3,1,5,"395000.00"
3,1,8,"560000.00"
3,1,10,"285000.00"
3,2,0,"346076.88"
3,2,1,"412913.88"
3,2,2,"507950.11"
3,2,3,"488941.18"
3,2,4,"444877.78"
3,2,5,"542000.00"
3,2,6,"640000.00"
3,2,7,"650000.00"
3,2,8,"495000.00"
3,3,0,"620000.00"
3,3,1,"533078.23"
3,3,2,"652491.48"
3,3,3,"638738.10"
3,3,4,"759888.89"
3,3,5,"602000.00"
3,3,6,"630000.00"
3,4,1,"407500.00"
3,4,2,"772674.42"
3,4,3,"947500.00"
3,4,4,"1510000.00"
3,4,5,"1190000.00"
3,4,6,"1000000.00"
3,5,2,"758980.00"
3,5,3,"931666.67"
3,5,6,"1100000.00"
3,6,2,"800000.00"
3,7,2,"1860000.00"
4,1,1,"197000.00"
4,1,2,"249000.00"
4,1,3,"215000.00"
4,1,4,"210000.00"
4,2,0,"223750.00"
4,2,1,"282909.91"
4,2,2,"565246.39"
4,2,3,"486125.00"
4,2,4,"378750.00"
4,2,5,"399000.00"
4,2,6,"636000.00"
4,2,8,"260000.00"
4,3,1,"522375.00"
4,3,2,"712850.00"
4,3,3,"717777.78"
4,3,5,"580000.00"
4,4,2,"651666.67"
4,4,3,"639750.00"
4,4,4,"768285.71"
4,4,5,"569000.00"
4,4,6,"1100000.00"
4,5,1,"570000.00"
4,5,2,"950000.00"
4,5,3,"700000.00"
4,5,4,"1850000.00"
4,5,6,"1300000.00"
4,6,3,"817178.00"
4,6,4,"1750000.00"
4,11,5,"19000000.00"
5,2,1,"250000.00"
5,2,2,"280000.00"
5,2,4,"260000.00"
5,3,2,"466000.00"
5,3,3,"740000.00"
5,3,4,"798000.00"
5,4,2,"845000.00"
5,4,3,"846000.00"
5,4,4,"905000.00"
5,5,2,"632500.00"
5,5,3,"822500.00"
5,5,4,"965000.00"
5,6,2,"1190000.00"
5,6,4,"620000.00"
5,7,1,"900000.00"
6,4,2,"970000.00"
6,4,3,"1425000.00"
6,4,5,"850000.00"
6,4,7,"683000.00"
6,5,1,"520000.00"
6,6,6,"690000.00"
7,6,1,"530000.00"
9,7,4,"350000.00"
