"regiao","tipo","num_anuncios","preco_medio"
"aarao reis","apartamento","2","275000.00"
"aberta dos morros","casa","12","264000.00"
"abolicao","apartamento","2","150000.00"
"aclimacao","apartamento","2","370000.00"
"adalgisa","apartamento","2","1399000.00"
"adalgisa","casa","2","1190000.00"
"aeroporto","apartamento","2","480000.00"
"agronomia","apartamento","2","200000.00"
"agua santa","casa","2","390000.00"
"alianca","apartamento","2","340000.00"
"alipio de melo","casa","2","650000.00"
"alto barroca","apartamento","4","772500.00"
"alto caicaras","apartamento","10","403800.00"
"alto caicaras","casa","2","600000.00"
"alto da mooca","apartamento","6","643333.33"
"alto industrial","apartamento","2","215000.00"
"alvorada","apartamento","16","304875.00"
"alvorada","casa","10","650000.00"
"amazonas","apartamento","9","273777.78"
"andarai","apartamento","2","275000.00"
"anil","apartamento","10","254000.00"
"aparecida","apartamento","2","290000.00"
"arpoador","apartamento","2","175000.00"
"arvoredo","apartamento","4","302500.00"
"arvoredo ii","apartamento","8","270750.00"
"assuncao","apartamento","42","359904.76"
"assuncao","casa","12","597500.00"
"auxiliadora","apartamento","2","680000.00"
"badu","apartamento","20","389900.00"
"badu","casa","20","862800.00"
"baeta neves","apartamento","34","489941.18"
"baeta neves","casa","2","580000.00"
"bairro da gloria","apartamento","12","341666.67"
"bairro dos casa","apartamento","2","200000.00"
"bairro dos casa","casa","8","425000.00"
"bairro empresarial do mandu","apartamento","2","200000.00"
"bairro fatima","apartamento","9","205444.44"
"bandeirantes pampulha","apartamento","6","330000.00"
"bandeiras","apartamento","16","248375.00"
"barra da tijuca","apartamento","2","350000.00"
"barra olimpica","apartamento","2","213000.00"
"barreto","apartamento","58","312938.48"
"barreto","casa","8","288750.00"
"barroca","apartamento","2","320000.00"
"barro preto","apartamento","2","360000.00"
"bela vista","apartamento","31","484322.58"
"bela vista","casa","4","670000.00"
"bela vista","studio","6","429833.33"
"belem","apartamento","2","450000.00"
"belem","casa","2","565000.00"
"belenzinho","apartamento","4","342500.00"
"benfica","casa","2","199999.00"
"bernardo monteiro","casa","6","363333.33"
"betania","apartamento","2","560000.00"
"boa vista","apartamento","22","343727.27"
"boa vista","casa","6","592666.67"
"bom jesus","apartamento","8","278000.00"
"bom jesus","casa","2","150000.00"
"bonfim","apartamento","15","260600.00"
"bonfim","studio","2","225000.00"
"bonsucesso","apartamento","2","150000.00"
"bosque","apartamento","10","359800.00"
"bosque","casa","4","379500.00"
"bosque","studio","2","150000.00"
"botafogo","apartamento","20","291500.00"
"botafogo","studio","2","150000.00"
"botujuru","casa","2","280000.00"
"bras","apartamento","14","427142.71"
"bras","studio","2","240000.00"
"brooklin","apartamento","2","2600000.00"
"brooklin paulista","studio","2","787000.00"
"buritis","apartamento","6","548333.33"
"bussocaba","apartamento","8","291000.00"
"cabral","apartamento","20","361900.00"
"cachoeirinha","apartamento","2","360000.00"
"cachoeirinha","casa","2","990000.00"
"caiapos","apartamento","4","237000.00"
"caicaras","apartamento","6","683333.33"
"california","apartamento","24","203750.00"
"camaqua","apartamento","18","209333.33"
"camaqua","casa","12","317833.33"
"camargos","apartamento","24","276000.00"
"camboinhas","apartamento","2","580000.00"
"camboinhas","casa","2","1900000.00"
"cambuci","apartamento","18","380444.44"
"cambuci","casa","4","394950.00"
"cambuci","studio","4","345000.00"
"cambui","apartamento","20","575800.00"
"camorim","apartamento","4","172500.00"
"campestre","apartamento","2","190000.00"
"campestre","casa","11","433545.45"
"campestre","studio","2","159900.00"
"campina","apartamento","18","165555.56"
"campina","casa","31","248903.23"
"campo belo","apartamento","6","1166666.67"
"campo novo","apartamento","6","153333.33"
"campo novo","casa","4","197500.00"
"campos eliseos","studio","2","280000.00"
"candida ferreira","apartamento","4","205000.00"
"canudos","apartamento","57","202977.19"
"canudos","casa","36","292388.89"
"carlos prates","apartamento","14","347000.00"
"carmo","apartamento","4","545000.00"
"cascadura","apartamento","6","206333.33"
"cascadura","casa","2","280000.00"
"castelo","apartamento","10","483400.00"
"castelo","casa","2","295000.00"
"cavalhada","apartamento","22","287771.82"
"cavalhada","casa","12","347500.00"
"centro","apartamento","405","335324.94"
"centro","casa","16","622875.00"
"centro","studio","24","280519.58"
"centro historico","apartamento","16","194250.00"
"centro historico","studio","4","147500.00"
"centro historico de sao paulo","apartamento","2","300000.00"
"cerqueira cesar","apartamento","2","3589000.00"
"cerqueira cesar","studio","2","410000.00"
"chacara belenzinho","apartamento","2","200000.00"
"chacara contagem","apartamento","2","215000.00"
"chacara contagem","casa","2","230000.00"
"chacara cotia","apartamento","2","330000.00"
"chacara cotia","casa","2","275000.00"
"chacara das pedras","apartamento","2","720000.00"
"chacara inglesa","casa","2","790000.00"
"chacara itaim","apartamento","2","19000000.00"
